regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason,control_type,replicate,control_seed,control_collapsed_overall
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1266.5964021556968,-1270.669797949097,-4.073395793400323,2548.213665424149,2676.5273459129985,-128.31368048884906,2537.192804311393,2577.339595898194,-40.146791586800646,10,3,0.3,ok,circular_rng_shift,7,431305,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12140.252167771696,-101.9058387103196,24726.29119707272,25579.701413443327,-853.4102163706048,24220.692658122756,24568.50433554339,-347.8116774206392,10,0,0.0,ok,circular_rng_shift,8,432314,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-5744.454119792528,-5743.161300609945,1.2928191825831163,11506.952643444778,11648.722235957384,-141.7695925126045,11492.908239585056,11522.32260121989,-29.414361634833767,10,2,0.2,ok,circular_rng_shift,8,432314,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3568.317319411316,-106.59557726992487,7492.369305616232,8274.486281489531,-782.1169758732995,7067.443484282781,7424.634638822631,-357.1911545398498,10,0,0.0,ok,circular_rng_shift,8,432314,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1870.217513140168,-1871.672421701288,-1.4549085611199644,3756.2370403843206,3885.5629703384393,-129.3259299541187,3744.435026280336,3779.344843402576,-34.90981712223993,10,3,0.3,ok,circular_rng_shift,8,432314,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2894.3620853082225,-103.24144141683564,6123.031685927788,6870.304966906475,-747.2732809786867,5726.241287782774,6076.724170616445,-350.4828828336713,10,1,0.1,ok,circular_rng_shift,8,432314,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1266.7198278138403,-1270.1132459516991,-3.3934181378588164,2548.460516740437,2675.4142419182026,-126.95372517776605,2537.4396556276806,2576.2264919033983,-38.78683627571763,10,3,0.3,ok,circular_rng_shift,8,432314,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12108.052971246372,-69.70664218499587,24726.29119707272,25515.30302039268,-789.0118233199573,24220.692658122756,24504.105942492744,-283.41328436999174,10,0,0.0,ok,circular_rng_shift,9,433323,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-5745.3390937850345,-5742.676617141852,2.662476643182345,11508.72259142979,11647.752869021197,-139.03027759140605,11494.678187570067,11521.353234283704,-26.67504671363531,10,2,0.2,ok,circular_rng_shift,9,433323,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3566.527011116378,-104.80526897498748,7492.369305616232,8270.905664899657,-778.5363592834256,7067.443484282781,7421.054022232756,-353.61053794997497,10,1,0.1,ok,circular_rng_shift,9,433323,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1870.5226804075664,-1872.8174562875056,-2.29477587993938,3756.847374919117,3887.8530395108746,-131.00566459175752,3745.045360815133,3781.634912575011,-36.58955175987876,10,3,0.3,ok,circular_rng_shift,9,433323,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2914.309436492184,-123.18879260079711,6123.031685927788,6910.199669274398,-787.1679833466096,5726.241287782774,6116.618872984368,-390.37758520159423,10,1,0.1,ok,circular_rng_shift,9,433323,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1266.926097992149,-1275.373189843884,-8.447091851734967,2548.873057097054,2685.934129702572,-137.06107260551835,2537.852195984298,2586.746379687768,-48.894183703469935,10,1,0.1,ok,circular_rng_shift,9,433323,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12126.720672040952,-88.37434297957589,24726.29119707272,25552.63842198184,-826.3472249091174,24220.692658122756,24541.441344081904,-320.74868595915177,10,0,0.0,ok,circular_rng_shift,10,434332,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-5745.126966715182,-5744.69991259465,0.4270541205314657,11508.298337290084,11651.799459926791,-143.5011226367078,11494.253933430364,11525.3998251893,-31.14589175893707,10,1,0.1,ok,circular_rng_shift,10,434332,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3599.13766467734,-137.41592253594945,7492.369305616232,8336.12697202158,-843.7576664053486,7067.443484282781,7486.27532935468,-418.8318450718989,10,1,0.1,ok,circular_rng_shift,10,434332,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.8,0.0,-0.8,-1871.4543692748996,-1878.645879528954,-7.19151025405472,3758.710752653784,3899.509885993772,-140.7991333399882,3746.908738549799,3793.291759057908,-46.38302050810944,10,1,0.1,ok,circular_rng_shift,10,434332,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2899.102046041988,-107.98140215060084,6123.031685927788,6879.784888374005,-756.7532024462171,5726.241287782774,6086.204092083975,-359.9628043012017,10,1,0.1,ok,circular_rng_shift,10,434332,True
